Unit Serial No : 240-IM0P2424-EU
Integration Time : 180 ms
Time Average: 3
Binning Average: 0
FFT Smoothing: 0%
Project Name : RPS900-R 
Sample Name :  SM240-IMOP2424-EU
Measurement No : 1
Measurement Time : 03/24/2016   16:40:34

Wavelength(nm)	Wavenumber(1/cm)	Absolute Irradiance(uW/cm^2/nm)
385.0000      	25974.0260    	0.00053       
386.0000      	25906.7358    	0.00178       
387.0000      	25839.7933    	0.00075       
388.0000      	25773.1959    	0.00140       
389.0000      	25706.9409    	0.00058       
390.0000      	25641.0256    	0.00276       
391.0000      	25575.4476    	-0.00090      
392.0000      	25510.2041    	-0.00328      
393.0000      	25445.2926    	-0.00170      
394.0000      	25380.7107    	0.00087       
395.0000      	25316.4557    	0.00041       
396.0000      	25252.5253    	-0.00080      
397.0000      	25188.9169    	0.00082       
398.0000      	25125.6281    	0.00098       
399.0000      	25062.6566    	-0.00277      
400.0000      	25000.0000    	-0.00239      
401.0000      	24937.6559    	0.00052       
402.0000      	24875.6219    	0.00063       
403.0000      	24813.8958    	-0.00070      
404.0000      	24752.4752    	-0.00107      
405.0000      	24691.3580    	-0.00152      
406.0000      	24630.5419    	0.00971       
407.0000      	24570.0246    	-0.00011      
408.0000      	24509.8039    	-0.00209      
409.0000      	24449.8778    	-0.00108      
410.0000      	24390.2439    	-0.00172      
411.0000      	24330.9002    	-0.00080      
412.0000      	24271.8447    	-0.00170      
413.0000      	24213.0751    	-0.00065      
414.0000      	24154.5894    	-0.00052      
415.0000      	24096.3855    	-0.00081      
416.0000      	24038.4615    	-0.00022      
417.0000      	23980.8153    	0.00325       
418.0000      	23923.4450    	-0.00072      
419.0000      	23866.3484    	-0.00154      
420.0000      	23809.5238    	0.00007       
421.0000      	23752.9691    	0.00055       
422.0000      	23696.6825    	0.00196       
423.0000      	23640.6619    	-0.00073      
424.0000      	23584.9057    	0.00181       
425.0000      	23529.4118    	0.00092       
426.0000      	23474.1784    	-0.00124      
427.0000      	23419.2037    	-0.00069      
428.0000      	23364.4860    	-0.00018      
429.0000      	23310.0233    	0.00120       
430.0000      	23255.8140    	0.00060       
431.0000      	23201.8561    	-0.00030      
432.0000      	23148.1481    	-0.00118      
433.0000      	23094.6882    	0.00048       
434.0000      	23041.4747    	0.00100       
435.0000      	22988.5057    	-0.00250      
436.0000      	22935.7798    	0.00071       
437.0000      	22883.2952    	-0.00081      
438.0000      	22831.0502    	-0.00069      
439.0000      	22779.0433    	0.00145       
440.0000      	22727.2727    	0.00065       
441.0000      	22675.7370    	0.00093       
442.0000      	22624.4344    	0.00032       
443.0000      	22573.3634    	0.00091       
444.0000      	22522.5225    	0.00048       
445.0000      	22471.9101    	-0.00056      
446.0000      	22421.5247    	0.00111       
447.0000      	22371.3647    	0.00213       
448.0000      	22321.4286    	-0.00104      
449.0000      	22271.7149    	-0.00111      
450.0000      	22222.2222    	-0.00003      
451.0000      	22172.9490    	-0.00130      
452.0000      	22123.8938    	0.00002       
453.0000      	22075.0552    	0.00094       
454.0000      	22026.4317    	-0.00002      
455.0000      	21978.0220    	-0.00050      
456.0000      	21929.8246    	0.00105       
457.0000      	21881.8381    	0.00101       
458.0000      	21834.0611    	-0.00001      
459.0000      	21786.4924    	0.00179       
460.0000      	21739.1304    	0.00163       
461.0000      	21691.9740    	0.00181       
462.0000      	21645.0216    	0.00112       
463.0000      	21598.2721    	0.00101       
464.0000      	21551.7241    	0.00048       
465.0000      	21505.3763    	0.00127       
466.0000      	21459.2275    	0.00082       
467.0000      	21413.2762    	0.00088       
468.0000      	21367.5214    	-0.00010      
469.0000      	21321.9616    	0.00026       
470.0000      	21276.5957    	0.00086       
471.0000      	21231.4225    	0.00118       
472.0000      	21186.4407    	0.00144       
473.0000      	21141.6490    	0.00145       
474.0000      	21097.0464    	0.00039       
475.0000      	21052.6316    	0.00002       
476.0000      	21008.4034    	0.00084       
477.0000      	20964.3606    	-0.00075      
478.0000      	20920.5021    	-0.00042      
479.0000      	20876.8267    	0.00029       
480.0000      	20833.3333    	0.00055       
481.0000      	20790.0208    	-0.00017      
482.0000      	20746.8880    	0.00093       
483.0000      	20703.9337    	-0.00065      
484.0000      	20661.1570    	-0.00083      
485.0000      	20618.5567    	-0.00013      
486.0000      	20576.1317    	0.00030       
487.0000      	20533.8809    	-0.00051      
488.0000      	20491.8033    	-0.00008      
489.0000      	20449.8978    	0.00061       
490.0000      	20408.1633    	0.00063       
491.0000      	20366.5988    	0.00003       
492.0000      	20325.2033    	0.00018       
493.0000      	20283.9757    	0.00030       
494.0000      	20242.9150    	-0.00010      
495.0000      	20202.0202    	-0.00013      
496.0000      	20161.2903    	-0.00001      
497.0000      	20120.7243    	0.00023       
498.0000      	20080.3213    	-0.00051      
499.0000      	20040.0802    	0.00008       
500.0000      	20000.0000    	-0.00004      
501.0000      	19960.0798    	0.00034       
502.0000      	19920.3187    	-0.00032      
503.0000      	19880.7157    	0.00026       
504.0000      	19841.2698    	0.00022       
505.0000      	19801.9802    	0.00075       
506.0000      	19762.8458    	0.00012       
507.0000      	19723.8659    	0.00009       
508.0000      	19685.0394    	0.00040       
509.0000      	19646.3654    	-0.00029      
510.0000      	19607.8431    	-0.00038      
511.0000      	19569.4716    	0.00032       
512.0000      	19531.2500    	-0.00037      
513.0000      	19493.1774    	0.00008       
514.0000      	19455.2529    	-0.00027      
515.0000      	19417.4757    	-0.00014      
516.0000      	19379.8450    	0.00004       
517.0000      	19342.3598    	-0.00040      
518.0000      	19305.0193    	0.00015       
519.0000      	19267.8227    	0.00054       
520.0000      	19230.7692    	0.00019       
521.0000      	19193.8580    	-0.00009      
522.0000      	19157.0881    	-0.00002      
523.0000      	19120.4589    	-0.00008      
524.0000      	19083.9695    	0.00025       
525.0000      	19047.6190    	0.00060       
526.0000      	19011.4068    	0.00007       
527.0000      	18975.3321    	0.00054       
528.0000      	18939.3939    	0.00002       
529.0000      	18903.5917    	-0.00018      
530.0000      	18867.9245    	0.00004       
531.0000      	18832.3917    	-0.00002      
532.0000      	18796.9925    	0.00014       
533.0000      	18761.7261    	-0.00044      
534.0000      	18726.5918    	-0.00057      
535.0000      	18691.5888    	-0.00020      
536.0000      	18656.7164    	0.00012       
537.0000      	18621.9739    	-0.00013      
