Unit Serial No : 240-IM0P2424-EU
Integration Time : 180 ms
Time Average: 3
Binning Average: 0
FFT Smoothing: 0%
Project Name : RPS900-R 
Sample Name :  SM240-IMOP2424-EU
Measurement No : 1
Measurement Time : 03/24/2016   18:28:12

Wavelength(nm)	Wavenumber(1/cm)	Absolute Irradiance(uW/cm^2/nm)
563.0000      	17761.9893    	0.10055       
564.0000      	17730.4965    	0.09852       
565.0000      	17699.1150    	0.09234       
566.0000      	17667.8445    	0.08599       
567.0000      	17636.6843    	0.07990       
568.0000      	17605.6338    	0.07485       
569.0000      	17574.6924    	0.07070       
570.0000      	17543.8596    	0.06819       
571.0000      	17513.1349    	0.06375       
572.0000      	17482.5175    	0.06047       
573.0000      	17452.0070    	0.05577       
574.0000      	17421.6028    	0.05099       
575.0000      	17391.3043    	0.04974       
576.0000      	17361.1111    	0.04684       
577.0000      	17331.0225    	0.04316       
578.0000      	17301.0381    	0.04050       
579.0000      	17271.1572    	0.03652       
580.0000      	17241.3793    	0.03358       
581.0000      	17211.7040    	0.03299       
582.0000      	17182.1306    	0.03122       
583.0000      	17152.6587    	0.02855       
584.0000      	17123.2877    	0.02511       
585.0000      	17094.0171    	0.02382       
586.0000      	17064.8464    	0.02253       
587.0000      	17035.7751    	0.02152       
588.0000      	17006.8027    	0.01919       
589.0000      	16977.9287    	0.01759       
590.0000      	16949.1525    	0.01555       
591.0000      	16920.4738    	0.01453       
592.0000      	16891.8919    	0.01459       
593.0000      	16863.4064    	0.01496       
594.0000      	16835.0168    	0.01284       
595.0000      	16806.7227    	0.01236       
596.0000      	16778.5235    	0.01126       
597.0000      	16750.4188    	0.00978       
598.0000      	16722.4080    	0.00914       
599.0000      	16694.4908    	0.00898       
600.0000      	16666.6667    	0.00949       
601.0000      	16638.9351    	0.00819       
602.0000      	16611.2957    	0.00717       
603.0000      	16583.7479    	0.00595       
604.0000      	16556.2914    	0.00622       
605.0000      	16528.9256    	0.00606       
606.0000      	16501.6502    	0.00484       
607.0000      	16474.4646    	0.00419       
608.0000      	16447.3684    	0.00460       
609.0000      	16420.3612    	0.00494       
610.0000      	16393.4426    	0.00473       
611.0000      	16366.6121    	0.00415       
612.0000      	16339.8693    	0.00346       
613.0000      	16313.2137    	0.00366       
614.0000      	16286.6450    	0.00226       
615.0000      	16260.1626    	0.00275       
616.0000      	16233.7662    	0.00345       
617.0000      	16207.4554    	0.00357       
618.0000      	16181.2298    	0.00274       
619.0000      	16155.0889    	0.00290       
620.0000      	16129.0323    	0.00199       
621.0000      	16103.0596    	0.00350       
622.0000      	16077.1704    	0.00285       
623.0000      	16051.3644    	0.00366       
624.0000      	16025.6410    	0.00194       
625.0000      	16000.0000    	0.00137       
626.0000      	15974.4409    	0.00180       
627.0000      	15948.9633    	0.00157       
628.0000      	15923.5669    	0.00249       
629.0000      	15898.2512    	0.00267       
630.0000      	15873.0159    	0.00081       
631.0000      	15847.8605    	0.00124       
632.0000      	15822.7848    	0.00175       
633.0000      	15797.7883    	0.00217       
634.0000      	15772.8707    	0.00277       
635.0000      	15748.0315    	0.00254       
636.0000      	15723.2704    	0.00161       
637.0000      	15698.5871    	0.00179       
638.0000      	15673.9812    	0.00071       
639.0000      	15649.4523    	0.00195       
640.0000      	15625.0000    	0.00285       
641.0000      	15600.6240    	0.00035       
642.0000      	15576.3240    	0.00081       
643.0000      	15552.0995    	0.00139       
644.0000      	15527.9503    	0.00109       
645.0000      	15503.8760    	-0.00033      
646.0000      	15479.8762    	0.00160       
647.0000      	15455.9505    	0.00154       
648.0000      	15432.0988    	0.00029       
649.0000      	15408.3205    	0.00131       
650.0000      	15384.6154    	0.00191       
651.0000      	15360.9831    	0.00186       
652.0000      	15337.4233    	0.00181       
653.0000      	15313.9357    	0.00198       
654.0000      	15290.5199    	0.00218       
655.0000      	15267.1756    	0.00033       
656.0000      	15243.9024    	-0.00025      
657.0000      	15220.7002    	0.00277       
658.0000      	15197.5684    	0.00311       
659.0000      	15174.5068    	0.00132       
660.0000      	15151.5152    	0.00165       
661.0000      	15128.5930    	0.00103       
662.0000      	15105.7402    	0.00089       
663.0000      	15082.9563    	-0.00008      
664.0000      	15060.2410    	0.00050       
665.0000      	15037.5940    	0.00063       
666.0000      	15015.0150    	0.00169       
667.0000      	14992.5037    	0.00141       
668.0000      	14970.0599    	0.00069       
669.0000      	14947.6831    	0.00029       
670.0000      	14925.3731    	0.00231       
671.0000      	14903.1297    	0.00107       
672.0000      	14880.9524    	0.00139       
673.0000      	14858.8410    	0.00126       
674.0000      	14836.7953    	0.00083       
675.0000      	14814.8148    	0.00190       
676.0000      	14792.8994    	-0.00015      
677.0000      	14771.0487    	0.00010       
678.0000      	14749.2625    	-0.00018      
679.0000      	14727.5405    	0.00172       
680.0000      	14705.8824    	-0.00007      
681.0000      	14684.2878    	0.00180       
682.0000      	14662.7566    	0.00196       
683.0000      	14641.2884    	-0.00146      
684.0000      	14619.8830    	0.00008       
685.0000      	14598.5401    	0.00075       
686.0000      	14577.2595    	0.00052       
687.0000      	14556.0408    	0.00021       
688.0000      	14534.8837    	0.00027       
689.0000      	14513.7881    	-0.00074      
690.0000      	14492.7536    	0.00095       
691.0000      	14471.7800    	0.00125       
692.0000      	14450.8671    	0.00176       
693.0000      	14430.0144    	0.00132       
694.0000      	14409.2219    	0.00221       
695.0000      	14388.4892    	-0.00122      
696.0000      	14367.8161    	-0.00071      
697.0000      	14347.2023    	0.00193       
698.0000      	14326.6476    	0.00215       
699.0000      	14306.1516    	0.00240       
700.0000      	14285.7143    	-0.00123      
701.0000      	14265.3352    	-0.00021      
702.0000      	14245.0142    	-0.00041      
703.0000      	14224.7511    	-0.00006      
704.0000      	14204.5455    	0.00219       
705.0000      	14184.3972    	0.00026       
706.0000      	14164.3059    	-0.00016      
707.0000      	14144.2716    	0.00024       
708.0000      	14124.2938    	-0.00091      
709.0000      	14104.3724    	0.00010       
710.0000      	14084.5070    	0.00066       
711.0000      	14064.6976    	0.00199       
712.0000      	14044.9438    	-0.00095      
713.0000      	14025.2454    	-0.00065      
714.0000      	14005.6022    	0.00000       
715.0000      	13986.0140    	0.00024       
716.0000      	13966.4804    	0.00087       
717.0000      	13947.0014    	0.00187       
718.0000      	13927.5766    	0.00048       
719.0000      	13908.2058    	0.00161       
720.0000      	13888.8889    	0.00044       
721.0000      	13869.6255    	0.00208       
722.0000      	13850.4155    	0.00123       
723.0000      	13831.2586    	0.00238       
724.0000      	13812.1547    	0.00011       
725.0000      	13793.1034    	0.00051       
726.0000      	13774.1047    	0.00011       
727.0000      	13755.1582    	0.00309       
728.0000      	13736.2637    	0.00228       
729.0000      	13717.4211    	0.00466       
730.0000      	13698.6301    	-0.00056      
731.0000      	13679.8906    	-0.00046      
732.0000      	13661.2022    	0.00249       
733.0000      	13642.5648    	0.00314       
734.0000      	13623.9782    	0.00022       
735.0000      	13605.4422    	-0.00022      
736.0000      	13586.9565    	0.00085       
737.0000      	13568.5210    	-0.00009      
738.0000      	13550.1355    	0.00072       
739.0000      	13531.7997    	0.00161       
740.0000      	13513.5135    	0.00021       
741.0000      	13495.2767    	-0.00081      
742.0000      	13477.0889    	-0.00123      
743.0000      	13458.9502    	-0.00038      
744.0000      	13440.8602    	0.00185       
745.0000      	13422.8188    	0.00305       
746.0000      	13404.8257    	0.00193       
747.0000      	13386.8809    	-0.00009      
748.0000      	13368.9840    	0.00035       
749.0000      	13351.1348    	-0.00052      
750.0000      	13333.3333    	0.00114       
751.0000      	13315.5792    	0.00040       
752.0000      	13297.8723    	0.00279       
753.0000      	13280.2125    	0.00073       
754.0000      	13262.5995    	-0.00018      
755.0000      	13245.0331    	-0.00127      
756.0000      	13227.5132    	-0.00004      
757.0000      	13210.0396    	0.00159       
758.0000      	13192.6121    	0.00122       
759.0000      	13175.2306    	0.00174       
760.0000      	13157.8947    	0.01085       
761.0000      	13140.6045    	0.00227       
762.0000      	13123.3596    	0.00174       
763.0000      	13106.1599    	0.00183       
764.0000      	13089.0052    	-0.00300      
765.0000      	13071.8954    	0.00015       
766.0000      	13054.8303    	0.00067       
767.0000      	13037.8096    	-0.00204      
768.0000      	13020.8333    	-0.00111      
769.0000      	13003.9012    	0.00207       
770.0000      	12987.0130    	0.00398       
771.0000      	12970.1686    	-0.00244      
772.0000      	12953.3679    	0.00016       
773.0000      	12936.6106    	0.00189       
774.0000      	12919.8966    	0.00259       
775.0000      	12903.2258    	0.00221       
776.0000      	12886.5979    	0.00236       
777.0000      	12870.0129    	-0.00001      
778.0000      	12853.4704    	-0.00047      
779.0000      	12836.9705    	0.00186       
780.0000      	12820.5128    	0.00126       
781.0000      	12804.0973    	0.00255       
782.0000      	12787.7238    	0.00136       
783.0000      	12771.3921    	0.00060       
784.0000      	12755.1020    	0.00053       
785.0000      	12738.8535    	0.00245       
786.0000      	12722.6463    	-0.00032      
787.0000      	12706.4803    	0.00045       
788.0000      	12690.3553    	0.00213       
789.0000      	12674.2712    	0.00132       
790.0000      	12658.2278    	-0.00059      
791.0000      	12642.2250    	0.00173       
792.0000      	12626.2626    	0.00279       
793.0000      	12610.3405    	0.00196       
794.0000      	12594.4584    	0.00326       
795.0000      	12578.6164    	0.00082       
796.0000      	12562.8141    	-0.00131      
797.0000      	12547.0514    	-0.00074      
798.0000      	12531.3283    	0.00175       
799.0000      	12515.6446    	-0.00006      
800.0000      	12500.0000    	0.00196       
